#{"t_start": 1770597841.356516, "env_id": "AdroitHandRelocate-v1"}
r,l,t,success,lifted,dist_to_target
24.8,100,1527.719827,False,False,0.14450689214344592
27.5,100,1529.21322,False,False,0.5468494366257074
-65.2,100,1530.634912,False,False,0.7362148914855522
37.2,100,1532.147899,False,False,0.45584562625610947
22.3,100,1533.719566,False,False,0.5670893575824287
36.7,100,1535.439049,False,False,0.24120236050965432
33.1,100,1538.463934,False,False,0.37326083863474635
26.6,100,1542.007128,False,False,0.6504679932370921
29.1,100,1546.832833,False,False,0.4998186278706781
226.915559,100,1548.565634,False,False,0.5369668905761349
32.8,100,1549.474152,False,False,0.5953603490421394
169.150863,100,1550.663276,False,False,0.3896414939458079
-115.819639,100,1551.42194,False,False,1.6771437526874426
83.492494,100,1552.202314,False,False,1.3562922597338205
187.476962,100,1552.951713,False,False,2.1399130595861364
151.592791,100,1553.712831,False,False,2.8457034737398703
25.1,100,1554.526339,False,False,0.2703571286103819
6.6,100,1555.263209,False,False,0.7540529194603772
23.2,100,1556.01108,False,False,0.35684354109467914
23.4,100,1556.813115,False,False,0.318084014736748
45.3,100,1557.608357,False,False,0.19187400182480285
48.1,100,1558.374767,False,False,0.22322009923967243
46.2,100,1559.132473,False,False,0.16106298389985466
17.897328,100,1560.000722,False,False,1.6271040296574382
3.945796,100,1560.827158,False,False,1.9838744513827833
-0.8,100,1561.668971,False,False,1.0234313191760158
36.2,100,1562.525217,False,False,0.14849560643596496
-41.2,100,1563.368116,False,False,1.1042123621830007
39.6,100,1564.183816,False,False,0.4215304191975504
47.0,100,1565.036887,False,False,0.21308794756691743
47.6,100,1565.896574,False,False,0.1442191416270187
20.3,100,1567.138754,False,False,0.9883836517835107
37.8,100,1568.013321,False,False,0.40105314479716786
38.8,100,1568.876368,False,False,0.21507770217636085
34.5,100,1569.723417,False,False,0.26046542444228904
46.7,100,1570.582282,False,False,0.17750541345155205
163.120826,100,1571.45513,False,False,1.2926736674745811
25.2,100,1572.302739,False,False,0.39095995869303757
76.369134,100,1573.160814,False,False,0.1541091484672068
29.1,100,1574.012607,False,False,0.11758166051169178
25.7,100,1574.896516,False,False,0.21002446453740617
46.3,100,1575.797835,False,False,0.283017441236061
24.7,100,1576.619075,False,False,0.1525842912506484
46.8,100,1577.416769,False,False,0.33015028974576816
47.9,100,1578.177697,False,False,0.24687099068742208
47.5,100,1578.946974,False,False,0.2779539336672133
29.2,100,1579.696561,False,False,0.15562090641102608
45.7,100,1580.473459,False,False,0.20533970023048562
47.4,100,1581.293402,False,False,0.11988977141337788
46.5,100,1582.146967,False,False,0.2917231617328184
32.5,100,1583.00379,False,False,0.23326179912194772
42.0,100,1584.425251,False,False,0.35896283694492953
23.2,100,1585.312951,False,False,0.291644726065774
46.1,100,1586.169266,False,False,0.2201026463382393
55.2,15,1586.298625,True,False,0.0897528003623073
30.3,100,1587.200859,False,False,0.39229084966560357
31.8,100,1588.08345,False,False,0.35350943048421907
40.4,100,1588.97476,False,False,0.43565904098147834
